"id","applicationno","tenantid","edcrnumber","status","landid","additionaldetails","createdby","lastmodifiedby","createdtime","lastmodifiedtime","approvalno","approvaldate","applicationdate","businessservice","accountid","reworkhistory","isrevisionapplication"
"4eeeeee8-5146-42cd-92b2-f355dc8473d2","BP-CTC-2022-07-06-005850","od.cuttack","DCR72022RX02I","APPROVAL_INPROGRESS","c9bfd994-451d-4e33-8ad7-6eb882e76669","{""fieldinspection_pending"": [{""date"": ""2022-07-07"", ""docs"": [{""fileName"": ""d4303321-9e91-433a-8f79-306d6f1cb25b.jpg"", ""fileStore"": ""abce466c-0453-4484-bbee-e601876f29cb"", ""fileStoreId"": ""abce466c-0453-4484-bbee-e601876f29cb"", ""isClickable"": true, ""documentType"": ""FI.FIR.FIR"", ""dropDownValues"": {""value"": ""FI.FIR.FIR""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1657714037017}}, {""fileName"": ""f99a0488-e2f6-47ca-a3d7-a439a209aed3.jpg"", ""fileStore"": ""ed9282fb-acbc-41a3-b66b-60b1514e1e8b"", ""fileStoreId"": ""ed9282fb-acbc-41a3-b66b-60b1514e1e8b"", ""isClickable"": true, ""documentType"": ""FI.FIR.FIR"", ""dropDownValues"": {""value"": ""FI.SINS.SINS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1657714037121}}, {""fileName"": ""7cb033e6-358a-4034-aa57-399ba9970cf5.jpg"", ""fileStore"": ""fec82fdb-b540-4fe8-9cb7-8aec1fc77a55"", ""fileStoreId"": ""fec82fdb-b540-4fe8-9cb7-8aec1fc77a55"", ""isClickable"": true, ""documentType"": ""FI.SINS.SINS"", ""dropDownValues"": {""value"": ""FI.SISS.SISS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1657714078408}}, {""fileName"": ""084e412e-b974-44f1-a037-215fcdb80ab2.jpg"", ""fileStore"": ""ea85f980-1985-441d-a0f4-ccf7d6b44561"", ""fileStoreId"": ""ea85f980-1985-441d-a0f4-ccf7d6b44561"", ""isClickable"": true, ""documentType"": ""FI.SISS.SISS"", ""dropDownValues"": {""value"": ""FI.SIES.SIES""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1657714082798}}, {""fileName"": ""658c5d0a-a781-4aba-9e64-97ba7a298f2a.jpg"", ""fileStore"": ""315ca026-3d38-402a-95c7-cc6298427542"", ""fileStoreId"": ""315ca026-3d38-402a-95c7-cc6298427542"", ""isClickable"": true, ""documentType"": ""FI.SIES.SIES"", ""dropDownValues"": {""value"": ""FI.SIWS.SIWS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1657714088081}}, {""fileName"": ""429abf77-89aa-43ad-b20a-fbc12832e892.jpg"", ""fileStore"": ""f5a1c7e1-a675-4a1a-98f1-52bfb5151757"", ""fileStoreId"": ""f5a1c7e1-a675-4a1a-98f1-52bfb5151757"", ""isClickable"": true, ""documentType"": ""FI.SIWS.SIWS"", ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1657714092346}}], ""time"": ""11:00"", ""questions"": [{""value"": ""YES"", ""remarks"": ""ok"", ""question"": ""PLAN_AS_PER_THE_SITE""}]}]}","8cfc0d3f-fe1c-4e29-b551-aa166e33a7ed","8cfc0d3f-fe1c-4e29-b551-aa166e33a7ed","1657124806027","1665649320039",NULL,"0","1657125216081","BPA1","8cfc0d3f-fe1c-4e29-b551-aa166e33a7ed","null",False
"aa87a0c8-1843-43ec-89df-6e14910e13f2","BP-BMC-2022-08-18-007565","od.bhubaneswar","DCR82022H7IG2","PENDING_SANC_FEE_PAYMENT","962d852e-1e3c-405f-b89d-4856a572d4c6","{""fieldinspection_pending"": [{""date"": ""2022-09-19"", ""docs"": [{""fileName"": ""007565.pdf"", ""fileStore"": ""34c6a4ed-d2af-4fac-92b2-f77a2dd98f1d"", ""fileStoreId"": ""34c6a4ed-d2af-4fac-92b2-f77a2dd98f1d"", ""isClickable"": true, ""documentType"": ""FI.FIR.FIR"", ""dropDownValues"": {""value"": ""FI.FIR.FIR""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1663576394610}}, {""fileName"": ""IMG-20220919-WA0003.jpg"", ""fileStore"": ""ed4b1247-d314-4baa-be7f-d719725c6b6f"", ""fileStoreId"": ""ed4b1247-d314-4baa-be7f-d719725c6b6f"", ""isClickable"": true, ""documentType"": ""FI.SINS.SINS"", ""dropDownValues"": {""value"": ""FI.SINS.SINS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1663576424576}}, {""fileName"": ""IMG-20220919-WA0007.jpg"", ""fileStore"": ""528c525f-052a-49f2-ba27-ed6b68796d2b"", ""fileStoreId"": ""528c525f-052a-49f2-ba27-ed6b68796d2b"", ""isClickable"": true, ""documentType"": ""FI.SISS.SISS"", ""dropDownValues"": {""value"": ""FI.SISS.SISS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1663576442878}}, {""fileName"": ""IMG-20220919-WA0006.jpg"", ""fileStore"": ""b89b54f6-e458-4852-ad3b-d4372cbe3930"", ""fileStoreId"": ""b89b54f6-e458-4852-ad3b-d4372cbe3930"", ""isClickable"": true, ""documentType"": ""FI.SIES.SIES"", ""dropDownValues"": {""value"": ""FI.SIES.SIES""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1663576456623}}, {""fileName"": ""IMG-20220919-WA0006.jpg"", ""fileStore"": ""dadf130c-581a-4716-aa55-4dae3e9e229d"", ""fileStoreId"": ""dadf130c-581a-4716-aa55-4dae3e9e229d"", ""isClickable"": true, ""documentType"": ""FI.SIWS.SIWS"", ""dropDownValues"": {""value"": ""FI.SIWS.SIWS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1663576470960}}], ""time"": ""11:20"", ""questions"": [{""value"": ""YES"", ""question"": ""PLAN_AS_PER_THE_SITE""}]}]}","0ab33c0f-8b61-47c1-8ac0-72087784baef","0ab33c0f-8b61-47c1-8ac0-72087784baef","1660819427492","1665836244429",NULL,"0","1660895595847","BPA1","0ab33c0f-8b61-47c1-8ac0-72087784baef","null",False
"12b755ec-55bb-4412-8cc8-0266da908cbe","BP-BMC-2022-10-14-009324","od.bhubaneswar","DCR102022UUR93","DOC_VERIFICATION_INPROGRESS","e6e3a92d-aa20-49b5-b276-0fb9a113f7bf","null","e13743a8-fbc1-4096-8727-6f9ac70c060b","e13743a8-fbc1-4096-8727-6f9ac70c060b","1665692499932","1665929273202",NULL,"0","1665929411764","BPA1","e13743a8-fbc1-4096-8727-6f9ac70c060b","null",False
"4e537d7b-005c-461d-8028-9f71d4fbf97d","BP-SMB-2022-10-13-009320","od.sambalpur","DCR102022HBVKM","DOC_VERIFICATION_INPROGRESS","d68288de-7ac5-46fa-b6c4-e86a9c1e70f0","null","4ced2f3f-adb1-472d-b034-54945561c2b0","4ced2f3f-adb1-472d-b034-54945561c2b0","1665680901240","1665714853511",NULL,"0","1665715000288","BPA1","4ced2f3f-adb1-472d-b034-54945561c2b0","null",False
"4b7ed1e6-9aa5-4520-8dcf-a89566a2048d","BP-BMC-2022-10-14-009336","od.bhubaneswar","DCR102022MO5SL","PENDING_APPL_FEE","e7109848-7d0b-4e42-8629-98b01c315719","null","5ef1dfcd-04c5-4fef-96ed-7c1ce31b15d8","5ef1dfcd-04c5-4fef-96ed-7c1ce31b15d8","1665727122805","1665727590711",NULL,"0","0","BPA1","5ef1dfcd-04c5-4fef-96ed-7c1ce31b15d8","null",False
"4196b795-b436-4b19-8bf9-11e52c0b369d","BP-RRK-2022-10-14-009338","od.rourkela","DCR102022IXUCK","PENDING_APPL_FEE","18ac674c-0874-4bbf-bc24-abcef8364214","{""serviceType"": ""NEW_CONSTRUCTION"", ""applicationType"": ""BUILDING_PLAN_SCRUTINY"", ""registrationDetails"": ""ROR""}","c03bf043-7a29-4b74-b4de-6d3a2047ada6","c03bf043-7a29-4b74-b4de-6d3a2047ada6","1665727705815","1665728496821",NULL,"0","0","BPA1","c03bf043-7a29-4b74-b4de-6d3a2047ada6","null",False
"44fd567a-9510-4c65-8272-caf16c2fea21","BP-BDA-2022-10-14-009340","od.bhubaneswardevelopmentauthority","DCR1020227S02Q","PENDING_APPL_FEE","9ca8c761-7ad0-4a91-b4d8-47b8b7f12659","null","0ab33c0f-8b61-47c1-8ac0-72087784baef","0ab33c0f-8b61-47c1-8ac0-72087784baef","1665728726384","1665731739253",NULL,"0","0","BPA1","0ab33c0f-8b61-47c1-8ac0-72087784baef","null",False
"9f687eed-ece6-4ffc-832f-ecf74c8a2ed8","BP-CHH-2022-08-30-007951","od.chatrapur","DCR82022PZEOK","PENDING_SANC_FEE_PAYMENT","89319a83-c3ad-4a2a-8beb-3d3cd31bd91b","{""sanctionFeeCardEnabled"": true, ""fieldinspection_pending"": [{""date"": ""2022-10-10"", ""docs"": [{""fileName"": ""renubala dakua.pdf"", ""fileStore"": ""85db6e11-fbad-40ca-af18-56b1d2719610"", ""fileStoreId"": ""85db6e11-fbad-40ca-af18-56b1d2719610"", ""isClickable"": true, ""documentType"": ""FI.FIR.FIR"", ""dropDownValues"": {""value"": ""FI.FIR.FIR""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1665731290707}}, {""fileName"": ""WhatsApp Image 2022-10-14 at 12.35.09 PM.jpeg"", ""fileStore"": ""e1ad701a-929b-44e4-9357-26ce5f73f95a"", ""fileStoreId"": ""e1ad701a-929b-44e4-9357-26ce5f73f95a"", ""isClickable"": true, ""documentType"": ""FI.SINS.SINS"", ""dropDownValues"": {""value"": ""FI.SINS.SINS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1665731306447}}, {""fileName"": ""WhatsApp Image 2022-10-14 at 12.35.08 PM.jpeg"", ""fileStore"": ""1cc9a7b1-b980-40c2-a71d-445d11fe1dc2"", ""fileStoreId"": ""1cc9a7b1-b980-40c2-a71d-445d11fe1dc2"", ""isClickable"": true, ""documentType"": ""FI.SISS.SISS"", ""dropDownValues"": {""value"": ""FI.SISS.SISS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1665731320924}}, {""fileName"": ""WhatsApp Image 2022-10-14 at 12.35.07 PM.jpeg"", ""fileStore"": ""61a803ab-12d7-4812-8e42-f02e8978b551"", ""fileStoreId"": ""61a803ab-12d7-4812-8e42-f02e8978b551"", ""isClickable"": true, ""documentType"": ""FI.SIES.SIES"", ""dropDownValues"": {""value"": ""FI.SIES.SIES""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1665731350883}}, {""fileName"": ""WhatsApp Image 2022-10-14 at 12.35.05 PM.jpeg"", ""fileStore"": ""2f812ea4-51d3-4a94-8223-3d6b819d5fde"", ""fileStoreId"": ""2f812ea4-51d3-4a94-8223-3d6b819d5fde"", ""isClickable"": true, ""documentType"": ""FI.SIWS.SIWS"", ""dropDownValues"": {""value"": ""FI.SIWS.SIWS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1665731361749}}], ""time"": ""05:30"", ""questions"": [{""value"": ""YES"", ""question"": ""PLAN_AS_PER_THE_SITE""}]}], ""sanctionFeeAdjustmentAmount"": """", ""modificationReasonSanctionFeeAdjustmentAmount"": """"}","afacb7a2-1679-4062-b62d-16794c77dae2","afacb7a2-1679-4062-b62d-16794c77dae2","1661847986709","1665759060512",NULL,"0","1664351247734","BPA1","afacb7a2-1679-4062-b62d-16794c77dae2","null",False
"149aa5c2-9c29-49ef-8401-1c702664430a","BP-BDA-2022-10-06-009053","od.bhubaneswardevelopmentauthority","DCR1020220WGU2","PENDING_APPL_FEE","9798db33-ba66-4c7e-ab9c-fdd836444f4f","null","179a5346-df84-458c-87e3-ce2b1f06acca","179a5346-df84-458c-87e3-ce2b1f06acca","1665060238021","1665831922053",NULL,"0","0","BPA1","179a5346-df84-458c-87e3-ce2b1f06acca","null",False
"356f8ded-eadf-481a-aa53-ef42684eec8c","BP-BMC-2022-10-14-009349","od.bhubaneswar","DCR102022V31KP","FIELDINSPECTION_INPROGRESS","73a5c5ca-4f10-4b53-a439-b6c025db4fe1","null","5ef1dfcd-04c5-4fef-96ed-7c1ce31b15d8","5ef1dfcd-04c5-4fef-96ed-7c1ce31b15d8","1665734085971","1665838950664",NULL,"0","1665750425564","BPA1","5ef1dfcd-04c5-4fef-96ed-7c1ce31b15d8","null",False
