"ulb","applicationno","businessservice","createdtime","applicationdate","status","approvalno","approvaldate"
"Bhubaneswar","BP-BMC-2022-03-24-001909","BPA2","2022-03-24",NULL,"INITIATED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-25-001947","BPA1","2022-03-25",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-07-23-006485","BPA1","2022-07-23","2022-07-28","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-22-001044","BPA1","2022-02-22",NULL,"INITIATED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-06-14-004700","BPA1","2022-06-14","2022-06-20","APPROVED","BP/BDA/000439","2022-07-25"
"Bhubaneswar","BP-BMC-2022-03-16-001775","BPA2","2022-03-16",NULL,"PENDING_APPL_FEE",NULL,NULL
"Cuttack","BP-CTC-2022-03-15-001740","BPA1","2022-03-15","2022-03-15","APPROVED","BP/CTC/000068","2022-03-21"
"Bhubaneswar","BP-BMC-2022-02-22-001047","BPA1","2022-02-22",NULL,"INITIATED",NULL,NULL
"Berhampur","BP-BAM-2022-06-13-004687","BPA1","2022-06-13","2022-06-14","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-21-002731","BPA1","2022-04-21",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-06-13-004684","BPA2","2022-06-13",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-07-27-006618","BPA2","2022-07-27",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-31-002073","BPA1","2022-03-31","2022-03-31","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Sambalpur","BP-SMB-2022-04-30-003083","BPA1","2022-04-30","2022-04-30","APPROVED","BP/SMB/000225","2022-06-07"
"Sambalpur","BP-SMB-2022-02-21-001022","BPA1","2022-02-21","2022-03-16","REJECTED",NULL,NULL
"Cuttackdevelopmentauthority","BP-CDA-2022-03-31-002054","BPA2","2022-03-31","2022-04-01","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Sambalpur","BP-SMB-2022-07-08-005934","BPA2","2022-07-08","2022-07-08","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-04-07-002327","BPA1","2022-04-07",NULL,"INITIATED",NULL,NULL
"Cuttackdevelopmentauthority","BP-CDA-2022-03-24-001910","BPA2","2022-03-24",NULL,"INITIATED",NULL,NULL
"Khordha","BP-KHU-2022-07-22-006429","BPA1","2022-07-22",NULL,"PENDING_APPL_FEE",NULL,NULL
"Rourkela","BP-RRK-2022-03-13-001645","BPA1","2022-03-13","2022-03-13","APPROVED","BP/RRK/000072","2022-03-25"
"Rourkela","BP-RRK-2022-05-07-003342","BPA1","2022-05-07","2022-05-10","APPROVED","BP/RRK/000222","2022-06-04"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-21-002711","BPA1","2022-04-21","2022-06-29","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-06-02-004059","BPA1","2022-06-02","2022-06-02","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-28-001981","BPA1","2022-03-28","2022-03-29","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-22-001053","BPA1","2022-02-22","2022-03-05","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Cuttack","BP-CTC-2022-04-29-003048","BPA1","2022-04-29","2022-04-30","APPROVED","BP/CTC/000145","2022-04-30"
"Berhampur","BP-BAM-2022-03-16-001779","BPA1","2022-03-16","2022-03-17","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Sambalpur","BP-SMB-2022-01-19-000440","BPA1","2022-01-19","2022-01-19","APPROVED","BP/SMB/000051","2022-02-23"
"Cuttack","BP-CTC-2022-02-23-001065","BPA1","2022-02-23",NULL,"INITIATED",NULL,NULL
"Cuttackdevelopmentauthority","BP-CDA-2022-03-24-001911","BPA2","2022-03-24",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-22-001048","BPA1","2022-02-22","2022-02-22","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-04-30-003058","BPA1","2022-04-30","2022-05-05","APPROVED","BP/BED/000190","2022-05-13"
"Bhubaneswar","BP-BMC-2022-04-28-002981","BPA1","2022-04-28",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-01-002097","BPA1","2022-04-01","2022-06-07","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Sambalpur","BP-SMB-2022-05-02-003106","BPA1","2022-05-02","2022-05-02","APPROVED","BP/SMB/000250","2022-06-16"
"Bhubaneswar","BP-BMC-2022-02-21-001027","BPA1","2022-02-21","2022-02-23","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-06-000694","BPA1","2022-02-06","2022-02-23","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Khordha","BP-KHU-2022-04-07-002311","BPA1","2022-04-07","2022-04-08","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-06-21-004939","BPA1","2022-06-21","2022-06-21","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-25-001948","BPA1","2022-03-25","2022-03-26","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Cuttack","BP-CTC-2022-03-24-001912","BPA2","2022-03-24",NULL,"INITIATED",NULL,NULL
"Berhampur","BP-BAM-2022-03-16-001780","BPA1","2022-03-16",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-29-000585","BPA1","2022-01-29","2022-04-07","APPROVED","BP/BMC/000200","2022-05-20"
"Bhubaneswar","BP-BMC-2022-02-23-001072","BPA1","2022-02-23","2022-04-18","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-02-23-001080","BPA1","2022-02-23",NULL,"INITIATED",NULL,NULL
"Berhampur","BP-BAM-2022-03-28-001995","BPA1","2022-03-28",NULL,"INITIATED",NULL,NULL
"Jatni","BP-JTN-2022-04-28-002999","BPA1","2022-04-28","2022-04-28","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-02-23-001086","BPA1","2022-02-23",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-23-002776","BPA1","2022-04-23",NULL,"INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-02-23-001087","BPA1","2022-02-23",NULL,"INITIATED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-06-07-004442","BPA1","2022-06-07",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-25-001172","BPA1","2022-02-25","2022-03-04","APPROVED","BP/BDA/000096","2022-04-09"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-01-28-000564","BPA1","2022-01-28","2022-01-29","APPROVED","BP/BDA/000069","2022-03-22"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-01-29-000586","BPA1","2022-01-29","2022-02-01","APPROVED","BP/BDA/000065","2022-03-12"
"Bhubaneswar","BP-BMC-2022-02-08-000744","BPA1","2022-02-08","2022-02-09","APPROVED","BP/BMC/000192","2022-05-18"
"Bhubaneswar","BP-BMC-2022-04-28-003001","BPA1","2022-04-28","2022-04-29","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-06-04-004325","BPA1","2022-06-04",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-16-001781","BPA1","2022-03-16",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-23-001079","BPA1","2022-02-23","2022-02-23","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-20-003796","BPA2","2022-05-20",NULL,"INITIATED",NULL,NULL
"Berhampur","BP-BAM-2022-05-17-003657","BPA1","2022-05-17","2022-06-29","REJECTED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-23-001090","BPA1","2022-02-23",NULL,"INITIATED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-01-002105","BPA1","2022-04-01",NULL,"PENDING_APPL_FEE",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-10-001569","BPA2","2022-03-10","2022-03-10","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-07-23-006487","BPA2","2022-07-23",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Berhampur","BP-BAM-2022-02-17-000940","BPA1","2022-02-17","2022-02-23","APPROVED","BP/BAM/000058","2022-03-07"
"Bhubaneswar","BP-BMC-2022-06-29-005583","BPA1","2022-06-29","2022-07-21","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-05-002246","BPA1","2022-04-05","2022-07-22","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-06-04-004316","BPA2","2022-06-04",NULL,"INITIATED",NULL,NULL
"Berhampur","BP-BAM-2022-02-23-001095","BPA1","2022-02-23",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2022-03-24-001923","BPA2","2022-03-24","2022-03-24","APPROVED","BP/RRK/000078","2022-03-28"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-23-001098","BPA1","2022-02-23","2022-02-26","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Berhampur","BP-BAM-2022-02-25-001173","BPA1","2022-02-25","2022-03-01","APPROVED","BP/BAM/000084","2022-04-01"
"Bhubaneswar","BP-BMC-2022-04-12-002459","BPA2","2022-04-12",NULL,"INITIATED",NULL,NULL
"Cuttack","BP-CTC-2022-06-11-004618","BPA1","2022-06-11","2022-06-11","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Berhampur","BP-BAM-2022-03-30-002033","BPA1","2022-03-30",NULL,"INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-28-000566","BPA1","2022-01-28","2022-02-14","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-25-001940","BPA2","2022-03-25",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-23-002779","BPA2","2022-04-23","2022-06-07","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-15-000884","BPA1","2022-02-15","2022-02-19","APPROVAL_INPROGRESS",NULL,NULL
"Sambalpur","BP-SMB-2022-01-28-000562","BPA1","2022-01-28","2022-03-04","REJECTED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-22-001042","BPA1","2022-02-22","2022-02-24","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-02-11-000821","BPA1","2022-02-11","2022-02-11","APPROVED","BP/BAM/000090","2022-04-05"
"Bhubaneswar","BP-BMC-2022-02-11-000802","BPA1","2022-02-11","2022-04-13","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Bhubaneswar","BP-BMC-2022-07-12-006020","BPA1","2022-07-12","2022-07-21","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-28-002987","BPA1","2022-04-28",NULL,"INITIATED",NULL,NULL
"Berhampur","BP-BAM-2022-02-19-000988","BPA1","2022-02-19","2022-02-23","APPROVED","BP/BAM/000056","2022-03-05"
"Bhubaneswar","BP-BMC-2022-02-22-001041","BPA1","2022-02-22","2022-02-24","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-24-001908","BPA2","2022-03-24","2022-04-12","PENDING_ARCHITECT_ACTION_FOR_REWORK",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-24-001113","BPA1","2022-02-24",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2022-02-24-001114","BPA2","2022-02-24",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-12-001629","BPA1","2022-03-12","2022-03-12","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-21-002720","BPA1","2022-04-21","2022-07-02","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-04-000682","BPA1","2022-02-04","2022-02-24","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-29-000587","BPA1","2022-01-29","2022-02-24","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-24-001116","BPA1","2022-02-24",NULL,"INITIATED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-13-003582","BPA1","2022-05-13",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-24-001118","BPA1","2022-02-24",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-24-001121","BPA1","2022-02-24","2022-03-11","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-02-24-001119","BPA2","2022-02-24",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2022-01-29-000575","BPA1","2022-01-29",NULL,"REJECTED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-06-29-005585","BPA1","2022-06-29","2022-07-01","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-04-002180","BPA1","2022-04-04","2022-04-05","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-12-001631","BPA1","2022-03-12",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2022-02-24-001123","BPA2","2022-02-24",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-06-29-005570","BPA1","2022-06-29","2022-06-29","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-24-001128","BPA1","2022-02-24",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-24-001136","BPA1","2022-02-24",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2022-03-16-001784","BPA1","2022-03-16","2022-03-16","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-24-001137","BPA1","2022-02-24",NULL,"INITIATED",NULL,NULL
"Berhampur","BP-BAM-2022-02-24-001141","BPA1","2022-02-24",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-24-001143","BPA2","2022-02-24",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-12-001632","BPA1","2022-03-12",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2022-02-25-001151","BPA2","2022-02-25",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-04-002160","BPA1","2022-04-04","2022-04-05","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-25-001153","BPA2","2022-02-25",NULL,"INITIATED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-22-002763","BPA1","2022-04-22","2022-07-11","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-11-001612","BPA1","2022-03-11","2022-03-12","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-25-001161","BPA1","2022-02-25",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-06-23-005034","BPA1","2022-06-23",NULL,"PENDING_APPL_FEE",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-25-001166","BPA1","2022-02-25",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-25-001168","BPA1","2022-02-25",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-25-001169","BPA1","2022-02-25",NULL,"INITIATED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-25-001171","BPA1","2022-02-25",NULL,"INITIATED",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-05-13-003578","BPA1","2022-05-13","2022-05-31","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-22-001045","BPA1","2022-02-22","2022-02-24","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-24-001914","BPA1","2022-03-24",NULL,"PENDING_APPL_FEE",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-05-001414","BPA1","2022-03-05","2022-03-05","APPROVED","BP/BDA/000070","2022-03-22"
"Cuttackdevelopmentauthority","BP-CDA-2022-03-24-001917","BPA2","2022-03-24",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2022-02-19-000986","BPA1","2022-02-19","2022-02-25","APPROVED","BP/RRK/000062","2022-03-08"
"Cuttack","BP-CTC-2022-04-18-002610","BPA1","2022-04-18","2022-04-21","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-31-002079","BPA1","2022-03-31","2022-03-31","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-01-002109","BPA1","2022-04-01","2022-04-01","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-25-001178","BPA1","2022-02-25",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-23-002785","BPA1","2022-04-23","2022-07-07","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-02-02-000639","BPA2","2022-02-02","2022-02-02","APPROVED","BP/RRK/000052","2022-03-01"
"Bhubaneswar","BP-BMC-2022-03-12-001633","BPA1","2022-03-12","2022-03-12","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-02-02-000644","BPA2","2022-02-02","2022-02-02","APPROVED","BP/RRK/000053","2022-03-01"
"Berhampur","BP-BAM-2022-04-28-002989","BPA2","2022-04-28",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-24-001921","BPA1","2022-03-24","2022-03-25","APPROVAL_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-02-02-000645","BPA2","2022-02-02","2022-02-02","APPROVED","BP/RRK/000458","2022-07-27"
"Cuttack","BP-CTC-2022-04-07-002316","BPA1","2022-04-07",NULL,"INITIATED",NULL,NULL
"Khordha","BP-KHU-2022-03-30-002037","BPA1","2022-03-30","2022-04-04","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-06-15-004730","BPA1","2022-06-15","2022-06-15","APPROVED","BP/BED/000468","2022-07-28"
"Cuttack","BP-CTC-2022-04-07-002307","BPA1","2022-04-07","2022-04-25","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-28-001238","BPA1","2022-02-28","2022-03-01","APPROVED","BP/BMC/000116","2022-04-22"
"Bhubaneswar","BP-BMC-2022-03-31-002081","BPA1","2022-03-31","2022-03-31","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-10-002396","BPA1","2022-04-10","2022-04-10","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-08-002355","BPA1","2022-04-08","2022-04-08","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-03-09-001520","BPA1","2022-03-09","2022-03-09","APPROVED","BP/RRK/000080","2022-03-30"
"Rourkela","BP-RRK-2022-03-22-001878","BPA1","2022-03-22","2022-03-25","APPROVED","BP/RRK/000085","2022-04-02"
"Bhubaneswar","BP-BMC-2022-02-22-001056","BPA2","2022-02-22","2022-02-23","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-07-01-005625","BPA2","2022-07-01","2022-07-01","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-03-08-001488","BPA1","2022-03-08","2022-03-08","APPROVED","BP/RRK/000081","2022-03-30"
"Bhubaneswar","BP-BMC-2022-04-02-002121","BPA2","2022-04-02","2022-04-02","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-26-000543","BPA1","2022-01-26","2022-01-26","APPROVED","BP/BMC/000109","2022-04-14"
"Bhubaneswar","BP-BMC-2022-04-13-002517","BPA1","2022-04-13","2022-04-13","APPROVED","BP/BMC/000201","2022-05-20"
"Sambalpur","BP-SMB-2022-03-02-001292","BPA1","2022-03-02","2022-03-02","APPROVED","BP/SMB/000107","2022-04-13"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-31-002086","BPA1","2022-03-31",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-07-001465","BPA1","2022-03-07","2022-03-09","APPROVED","BP/BDA/000099","2022-04-09"
"Bhubaneswar","BP-BMC-2022-02-21-001020","BPA1","2022-02-21","2022-02-23","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-17-001793","BPA1","2022-03-17","2022-04-14","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-05-04-003176","BPA1","2022-05-04","2022-05-04","APPROVED","BP/BAM/000268","2022-06-22"
"Sambalpur","BP-SMB-2022-03-07-001458","BPA1","2022-03-07","2022-03-07","APPROVED","BP/SMB/000103","2022-04-12"
"Cuttack","BP-CTC-2022-03-21-001857","BPA1","2022-03-21","2022-03-22","APPROVED","BP/CTC/000082","2022-03-30"
"Berhampur","BP-BAM-2022-03-08-001506","BPA1","2022-03-08","2022-03-12","APPROVED","BP/BAM/000169","2022-05-06"
"Berhampurdevelopmentauthority","BP-BED-2022-03-18-001823","BPA1","2022-03-18","2022-03-18","APPROVED","BP/BED/000093","2022-04-07"
"Rourkela","BP-RRK-2022-03-14-001653","BPA1","2022-03-14","2022-03-14","APPROVED","BP/RRK/000083","2022-03-31"
"Bhubaneswar","BP-BMC-2022-04-07-002302","BPA1","2022-04-07","2022-04-08","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-04-04-002194","BPA1","2022-04-04","2022-04-04","APPROVED","BP/BED/000156","2022-05-04"
"Berhampurdevelopmentauthority","BP-BED-2022-04-30-003063","BPA1","2022-04-30","2022-05-05","APPROVED","BP/BED/000189","2022-05-13"
"Bhubaneswar","BP-BMC-2022-03-14-001686","BPA1","2022-03-14","2022-03-15","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-03-22-001879","BPA1","2022-03-22","2022-03-25","APPROVED","BP/RRK/000097","2022-04-09"
"Bhubaneswar","BP-BMC-2022-04-09-002382","BPA1","2022-04-09","2022-04-09","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-31-002087","BPA1","2022-03-31","2022-04-04","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-06-12-004639","BPA1","2022-06-12","2022-07-07","APPROVAL_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-03-22-001880","BPA1","2022-03-22","2022-03-25","APPROVED","BP/RRK/000153","2022-05-02"
"Sambalpur","BP-SMB-2022-06-29-005587","BPA1","2022-06-29","2022-07-02","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-03-16-001782","BPA1","2022-03-16","2022-03-16","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-31-002088","BPA1","2022-03-31",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-02-000653","BPA1","2022-02-02","2022-02-04","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-30-002022","BPA2","2022-03-30","2022-04-01","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-07-01-005624","BPA2","2022-07-01","2022-07-01","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-26-001187","BPA1","2022-02-26","2022-04-15","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-24-000536","BPA2","2022-01-24","2022-01-27","REJECTED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-23-002788","BPA1","2022-04-23",NULL,"INITIATED",NULL,NULL
"Cuttack","BP-CTC-2022-04-27-002922","BPA1","2022-04-27","2022-04-27","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-07-002341","BPA1","2022-04-07","2022-04-08","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-12-002460","BPA2","2022-04-12",NULL,"INITIATED",NULL,NULL
"Berhampur","BP-BAM-2022-03-14-001663","BPA1","2022-03-14","2022-03-14","APPROVED","BP/BAM/000092","2022-04-07"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-03-003137","BPA1","2022-05-03","2022-05-05","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswar","BP-BMC-2022-06-14-004713","BPA1","2022-06-14","2022-06-16","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-21-000471","BPA1","2022-01-21","2022-01-21","APPROVED","BP/BMC/000088","2022-04-04"
"Cuttack","BP-CTC-2022-04-20-002670","BPA1","2022-04-20","2022-04-20","APPROVED","BP/CTC/000124","2022-04-26"
"Bhubaneswar","BP-BMC-2022-04-12-002469","BPA2","2022-04-12",NULL,"INITIATED",NULL,NULL
"Berhampur","BP-BAM-2022-03-27-001973","BPA1","2022-03-27","2022-03-28","APPROVED","BP/BAM/000214","2022-06-01"
"Berhampurdevelopmentauthority","BP-BED-2022-04-09-002381","BPA1","2022-04-09","2022-04-09","APPROVED","BP/BED/000139","2022-04-29"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-23-001092","BPA1","2022-02-23","2022-02-24","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-02-001306","BPA1","2022-03-02","2022-03-03","APPROVED","BP/BDA/000118","2022-04-23"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-09-002385","BPA1","2022-04-09","2022-04-09","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-07-000703","BPA1","2022-02-07","2022-02-07","PENDING_SANC_FEE_PAYMENT",NULL,NULL
