"tenantid","id","licensetype","structuretype","tradetype","accessorycategory","type","uom","fromuom","touom","rate","createdtime","createdby","lastmodifiedtime","lastmodifiedby","applicationtype"
"od.anandapur","a4a2a5b1-8c03-4c53-90b3-e3403a4fbed0","PERMANENT",NULL,"NONEATINGNONMEDICALESTABLISHMENTS.TST227",NULL,"FLAT","SQFT","2001","99999","2000.00","1650973259996","9eec6c54-fb6f-464e-a981-ad98ec0e15a1","1650973259996","9eec6c54-fb6f-464e-a981-ad98ec0e15a1","NEW"
"od.anandapur","533d2d9d-a417-49d5-95cb-3a3e68b29a0e","PERMANENT",NULL,"NONEATINGNONMEDICALESTABLISHMENTS.TST227",NULL,"FLAT","SQFT","0","200","1200.00","1650973259996","9eec6c54-fb6f-464e-a981-ad98ec0e15a1","1650973259996","9eec6c54-fb6f-464e-a981-ad98ec0e15a1","NEW"
"od.anandapur","896eb43f-b569-49d7-abb7-60156cac71c2","PERMANENT",NULL,"NONEATINGNONMEDICALESTABLISHMENTS.TST227",NULL,"FLAT","SQFT","201","500","1200.00","1650973259996","9eec6c54-fb6f-464e-a981-ad98ec0e15a1","1650973259996","9eec6c54-fb6f-464e-a981-ad98ec0e15a1","NEW"
"od.anandapur","aee00dc3-13ef-44e4-b5f2-9d3ad793aed8","PERMANENT",NULL,"NONEATINGNONMEDICALESTABLISHMENTS.TST227",NULL,"FLAT","SQFT","501","1000","1200.00","1650973259996","9eec6c54-fb6f-464e-a981-ad98ec0e15a1","1650973259996","9eec6c54-fb6f-464e-a981-ad98ec0e15a1","NEW"
"od.anandapur","95048cd2-156f-4478-b0a6-3edfd600b1a1","PERMANENT",NULL,"NONEATINGNONMEDICALESTABLISHMENTS.TST227",NULL,"FLAT","SQFT","1001","2000","2000.00","1650973259996","9eec6c54-fb6f-464e-a981-ad98ec0e15a1","1650973259996","9eec6c54-fb6f-464e-a981-ad98ec0e15a1","NEW"
"od.anandapur","dbac72cb-6d7d-4653-89e6-be980bfe11b7","PERMANENT",NULL,"NONEATINGNONMEDICALESTABLISHMENTS.TST227",NULL,"FLAT","SQFT","1001","99999","2000.00","1650973259996","9eec6c54-fb6f-464e-a981-ad98ec0e15a1","1650973259996","9eec6c54-fb6f-464e-a981-ad98ec0e15a1","NEW"
"od.anandapur","f5dd6aed-afa0-427d-a48a-ca14a289b0fb","PERMANENT",NULL,"NONEATINGNONMEDICALESTABLISHMENTS.TST227",NULL,"FLAT","SQFT","0","200","1200.00","1650973649413","9eec6c54-fb6f-464e-a981-ad98ec0e15a1","1650973649413","9eec6c54-fb6f-464e-a981-ad98ec0e15a1","RENEWAL"
"od.anandapur","9f39e5e5-2427-46f5-83df-b4e4061859ee","PERMANENT",NULL,"NONEATINGNONMEDICALESTABLISHMENTS.TST227",NULL,"FLAT","SQFT","1001","99999","2000.00","1650973649413","9eec6c54-fb6f-464e-a981-ad98ec0e15a1","1650973649413","9eec6c54-fb6f-464e-a981-ad98ec0e15a1","RENEWAL"
"od.anandapur","8dd9cbe2-fb1f-4d5e-9b79-0e1a1e9577b5","PERMANENT",NULL,"NONEATINGNONMEDICALESTABLISHMENTS.TST227",NULL,"FLAT","SQFT","501","1000","1200.00","1650973649413","9eec6c54-fb6f-464e-a981-ad98ec0e15a1","1650973649413","9eec6c54-fb6f-464e-a981-ad98ec0e15a1","RENEWAL"
"od.anandapur","4dc51f3a-ee33-4a82-9448-06fa99c5e9ad","PERMANENT",NULL,"NONEATINGNONMEDICALESTABLISHMENTS.TST227",NULL,"FLAT","SQFT","201","500","1200.00","1650973649413","9eec6c54-fb6f-464e-a981-ad98ec0e15a1","1650973649413","9eec6c54-fb6f-464e-a981-ad98ec0e15a1","RENEWAL"
"od.anandapur","df7959ab-1535-4f87-a181-eb7db653b707","PERMANENT",NULL,"NONEATINGNONMEDICALESTABLISHMENTS.TST227",NULL,"FLAT","SQFT","1001","2000","2000.00","1650973649413","9eec6c54-fb6f-464e-a981-ad98ec0e15a1","1650973649413","9eec6c54-fb6f-464e-a981-ad98ec0e15a1","RENEWAL"
"od.anandapur","cf59aa44-117d-449c-90d5-d421a0cb853f","PERMANENT",NULL,"NONEATINGNONMEDICALESTABLISHMENTS.TST227",NULL,"FLAT","SQFT","2001","99999","2000.00","1650973649413","9eec6c54-fb6f-464e-a981-ad98ec0e15a1","1650973649413","9eec6c54-fb6f-464e-a981-ad98ec0e15a1","RENEWAL"
